STATEFP,COUNTYFP,TRACTCE,GEOIDFQ,GEOID,NAME,NAMELSAD,STUSPS,NAMELSADCO,STATE_NAME,LSAD,ALAND,AWATER,population,area_km2,population_density,log_population_density,observations,diversity,total_birds,population_summary,area_km2_summary,population_density_summary,log_population_density_summary,log_observations,log_total_birds,nlcd_code,nlcd_class,pop_density_group
48,085,031633,1400000US48085031633,48085031633,316.33,Census Tract 316.33,TX,Collin County,Texas,CT,1540771,0,3426,1.546847055913083,2214.8278893530805,7.703381377591477,39.0,15.0,70.0,3426.0,1.546847055913083,2214.8278893530805,7.703381377591477,3.6888794541139363,4.2626798770413155,23,Developed,High density
48,097,000900,1400000US48097000900,48097000900,9,Census Tract 9,TX,Cooke County,Texas,CT,712238480,10488724,5563,722.7486579096349,7.6970049534087694,2.1629787081611935,407.0,76.0,1669.0,5563.0,722.7486579096349,7.6970049534087694,2.1629787081611935,6.0112671744041615,7.4205789054108005,71,Grassland,Low density
48,097,000200,1400000US48097000200,48097000200,2,Census Tract 2,TX,Cooke County,Texas,CT,628073094,5797336,5242,633.6609316429667,8.272563035263124,2.227059828445655,115.0,54.0,782.0,5242.0,633.6609316429667,8.272563035263124,2.227059828445655,4.7535901911063645,6.663132695990803,71,Grassland,Low density
48,101,950100,1400000US48101950100,48101950100,9501,Census Tract 9501,TX,Cottle County,Texas,CT,2332448732,2723997,1302,2334.6417542233607,0.5576872758506463,0.44320220576769026,1227.0,140.0,6106.0,1302.0,2334.6417542233607,0.5576872758506463,0.44320220576769026,7.113142108707088,8.717190933223135,52,Shrub/Scrub,Low density
48,105,950100,1400000US48105950100,48105950100,9501,Census Tract 9501,TX,Crockett County,Texas,CT,7270935061,53329,2881,7274.430549240691,0.3960447461142811,0.3336430569169506,2882.0,133.0,10180.0,2881.0,7274.430549240691,0.3960447461142811,0.3336430569169506,7.9665866976384025,9.228278517107196,52,Shrub/Scrub,Low density
48,121,021301,1400000US48121021301,48121021301,213.01,Census Tract 213.01,TX,Denton County,Texas,CT,1380307,0,3549,1.387680707949385,2557.5047485126875,7.847178284218678,19.0,13.0,54.0,3549.0,1.387680707949385,2557.5047485126875,7.847178284218678,2.995732273553991,4.007333185232471,23,Developed,High density
48,145,000800,1400000US48145000800,48145000800,8,Census Tract 8,TX,Falls County,Texas,CT,948360500,11316156,3493,959.5553232467038,3.6402278382253757,1.5347634680984616,842.0,125.0,4446.0,3493.0,959.5553232467038,3.6402278382253757,1.5347634680984616,6.736966958001855,8.399984990510696,81,Agriculture,Low density
48,001,950800,1400000US48001950800,48001950800,9508,Census Tract 9508,TX,Anderson County,Texas,CT,10429389,92101,6374,10.534516323800835,605.0586286148799,6.4069767282788765,35.0,20.0,73.0,6374.0,10.534516323800835,605.0586286148799,6.4069767282788765,3.58351893845611,4.30406509320417,21,Developed,Medium density
48,005,000500,1400000US48005000500,48005000500,5,Census Tract 5,TX,Angelina County,Texas,CT,14970463,307614,3427,15.300063689699867,223.98599571236332,5.416038158988966,2332.0,134.0,8675.0,3427.0,15.300063689699867,223.98599571236332,5.416038158988966,7.75491027202143,9.068315871946766,21,Developed,Low density
48,005,000102,1400000US48005000102,48005000102,1.02,Census Tract 1.02,TX,Angelina County,Texas,CT,156393312,2427164,5447,158.80799011554635,34.29928176810778,3.5638626172197307,1587.0,81.0,4946.0,5447.0,158.80799011554635,34.29928176810778,3.5638626172197307,7.370230641807081,8.506536611227709,42,Forest,Low density
48,005,001300,1400000US48005001300,48005001300,13,Census Tract 13,TX,Angelina County,Texas,CT,403364772,36224933,5520,439.5064794497416,12.559541799954788,2.6070904913775292,51.0,34.0,132.0,5520.0,439.5064794497416,12.559541799954788,2.6070904913775292,3.9512437185814275,4.890349128221754,42,Forest,Low density
48,009,020200,1400000US48009020200,48009020200,202,Census Tract 202,TX,Archer County,Texas,CT,1318726084,40684150,2536,1359.6485706695903,1.8651878542049203,1.0526339166750853,2134.0,207.0,29675.0,2536.0,1359.6485706695903,1.8651878542049203,1.0526339166750853,7.666221925662725,10.298093917309416,71,Grassland,Low density
48,245,000900,1400000US48245000900,48245000900,9,Census Tract 9,TX,Jefferson County,Texas,CT,1982679,0,1824,1.9864283494998705,918.2309547984624,6.823537401770904,11.0,9.0,23.0,1824.0,1.9864283494998705,918.2309547984624,6.823537401770904,2.4849066497880004,3.1780538303479458,22,Developed,Medium density
48,245,010901,1400000US48245010901,48245010901,109.01,Census Tract 109.01,TX,Jefferson County,Texas,CT,2730950,11057,3121,2.7524279626647146,1133.9079686497803,7.034306841737884,1.0,1.0,1.0,3121.0,2.7524279626647146,1133.9079686497803,7.034306841737884,0.6931471805599453,0.6931471805599453,22,Developed,Medium density
48,035,950500,1400000US48035950500,48035950500,9505,Census Tract 9505,TX,Bosque County,Texas,CT,4966109,118877,2994,5.082997004055407,589.0225781386991,6.380160804199257,112.0,43.0,604.0,2994.0,5.082997004055407,589.0225781386991,6.380160804199257,4.727387818712341,6.405228458030842,22,Developed,Medium density
48,157,675800,1400000US48157675800,48157675800,6758,Census Tract 6758,TX,Fort Bend County,Texas,CT,321687925,4618684,3575,326.17231347194434,10.960464307794485,2.481606569490889,3065.0,174.0,55381.0,3575.0,326.17231347194434,10.960464307794485,2.481606569490889,8.028129059431759,10.922009910193475,81,Agriculture,Low density
48,157,675000,1400000US48157675000,48157675000,6750,Census Tract 6750,TX,Fort Bend County,Texas,CT,3991207,215418,3411,4.217508472933807,808.7713449517319,6.696751917632064,60.0,12.0,133.0,3411.0,4.217508472933807,808.7713449517319,6.696751917632064,4.110873864173311,4.897839799950911,22,Developed,Medium density
48,039,663700,1400000US48039663700,48039663700,6637,Census Tract 6637,TX,Brazoria County,Texas,CT,3706478,46487,4147,3.744044023523277,1107.6258649591218,7.010876567905239,240.0,47.0,549.0,4147.0,3.744044023523277,1107.6258649591218,7.010876567905239,5.484796933490655,6.309918278226516,22,Developed,Medium density
48,039,661100,1400000US48039661100,48039661100,6611,Census Tract 6611,TX,Brazoria County,Texas,CT,14102003,0,2841,14.085963829126555,201.69013881218842,5.311678403099352,33.0,24.0,76.0,2841.0,14.085963829126555,201.69013881218842,5.311678403099352,3.5263605246161616,4.343805421853684,81,Agriculture,Low density
48,143,950201,1400000US48143950201,48143950201,9502.01,Census Tract 9502.01,TX,Erath County,Texas,CT,303157031,1884343,4037,305.0694941638482,13.233050426968578,2.6555667550435396,84.0,47.0,347.0,4037.0,305.0694941638482,13.233050426968578,2.6555667550435396,4.442651256490317,5.8522024797744745,71,Grassland,Low density
48,167,725800,1400000US48167725800,48167725800,7258,Census Tract 7258,TX,Galveston County,Texas,CT,2694933,3899700,5208,5.014701633862764,1038.5463344084026,6.946539680050145,342.0,72.0,1936.0,5208.0,5.014701633862764,1038.5463344084026,6.946539680050145,5.8377304471659395,7.5688956634069955,11,Water,Medium density
48,167,720800,1400000US48167720800,48167720800,7208,Census Tract 7208,TX,Galveston County,Texas,CT,5165206,7596,3867,5.171411454663934,747.7649059450633,6.618425057004542,1723.0,101.0,4479.0,3867.0,5.171411454663934,747.7649059450633,6.618425057004542,7.452402451223638,8.40737832540903,22,Developed,Medium density
48,167,724700,1400000US48167724700,48167724700,7247,Census Tract 7247,TX,Galveston County,Texas,CT,760737,0,1846,0.7606634893648363,2426.8287170473154,7.794752604817553,56.0,13.0,211.0,1846.0,0.7606634893648363,2426.8287170473154,7.794752604817553,4.04305126783455,5.356586274672012,23,Developed,High density
48,189,950100,1400000US48189950100,48189950100,9501,Census Tract 9501,TX,Hale County,Texas,CT,23027315,0,4343,23.028418106862834,188.59306704639505,5.244880022941365,67.0,36.0,499.0,4343.0,23.028418106862834,188.59306704639505,5.244880022941365,4.219507705176107,6.214608098422191,82,Agriculture,Low density
48,201,530600,1400000US48201530600,48201530600,5306,Census Tract 5306,TX,Harris County,Texas,CT,3091521,0,3142,3.09137880737344,1016.3749562188303,6.924981016613741,16.0,8.0,50.0,3142.0,3.09137880737344,1016.3749562188303,6.924981016613741,2.833213344056216,3.9318256327243257,23,Developed,Medium density
48,201,534002,1400000US48201534002,48201534002,5340.02,Census Tract 5340.02,TX,Harris County,Texas,CT,3242147,5588,4898,3.2546782239342864,1504.910674112432,7.317153093262375,2.0,2.0,6.0,4898.0,3.2546782239342864,1504.910674112432,7.317153093262375,1.0986122886681098,1.9459101490553132,23,Developed,High density
48,201,521300,1400000US48201521300,48201521300,5213,Census Tract 5213,TX,Harris County,Texas,CT,2916202,43463,7064,2.9608320136043607,2385.8158678177283,7.777715483781404,9.0,9.0,22.0,7064.0,2.9608320136043607,2385.8158678177283,7.777715483781404,2.302585092994046,3.1354942159291497,22,Developed,High density
48,201,520400,1400000US48201520400,48201520400,5204,Census Tract 5204,TX,Harris County,Texas,CT,2040581,2708,3644,2.0406935369887704,1785.6674380304328,7.488107397130096,1886.0,108.0,4795.0,3644.0,2.0406935369887704,1785.6674380304328,7.488107397130096,7.54274354536855,8.475537516147405,23,Developed,High density
48,201,412000,1400000US48201412000,48201412000,4120,Census Tract 4120,TX,Harris County,Texas,CT,1495551,0,3840,1.4964069605427988,2566.146844577025,7.850550383978691,13.0,10.0,30.0,3840.0,1.4964069605427988,2566.146844577025,7.850550383978691,2.6390573296152584,3.4339872044851463,22,Developed,High density
48,201,342700,1400000US48201342700,48201342700,3427,Census Tract 3427,TX,Harris County,Texas,CT,3491982,5066,4756,3.488135747119982,1363.479045770178,7.218527983321191,8.0,7.0,17.0,4756.0,3.488135747119982,1363.479045770178,7.218527983321191,2.1972245773362196,2.8903717578961645,23,Developed,Medium density
48,201,332100,1400000US48201332100,48201332100,3321,Census Tract 3321,TX,Harris County,Texas,CT,1074665,0,3447,1.0701603422763202,3221.0126499996663,8.077761489861945,8.0,8.0,8.0,3447.0,1.0701603422763202,3221.0126499996663,8.077761489861945,2.1972245773362196,2.1972245773362196,22,Developed,High density
48,201,312700,1400000US48201312700,48201312700,3127,Census Tract 3127,TX,Harris County,Texas,CT,862849,0,2100,0.8638746679823962,2430.9081835963652,7.7964314889179365,1.0,1.0,1.0,2100.0,0.8638746679823962,2430.9081835963652,7.7964314889179365,0.6931471805599453,0.6931471805599453,23,Developed,High density
48,201,311100,1400000US48201311100,48201311100,3111,Census Tract 3111,TX,Harris County,Texas,CT,2476081,294903,4832,2.7789918301335845,1738.7600595312756,7.461502485878828,9.0,9.0,71.0,4832.0,2.7789918301335845,1738.7600595312756,7.461502485878828,2.302585092994046,4.276666119016055,23,Developed,High density
48,201,310400,1400000US48201310400,48201310400,3104,Census Tract 3104,TX,Harris County,Texas,CT,1707218,32110,2922,1.7467210081496607,1672.8487184655423,7.422880875678678,94.0,39.0,408.0,2922.0,1.7467210081496607,1672.8487184655423,7.422880875678678,4.553876891600541,6.013715156042802,23,Developed,High density
48,201,311800,1400000US48201311800,48201311800,3118,Census Tract 3118,TX,Harris County,Texas,CT,2458870,42209,3972,2.506187522569022,1584.877414092468,7.368893106705977,20.0,19.0,41.0,3972.0,2.506187522569022,1584.877414092468,7.368893106705977,3.044522437723423,3.7376696182833684,23,Developed,High density
48,201,211200,1400000US48201211200,48201211200,2112,Census Tract 2112,TX,Harris County,Texas,CT,1702869,0,2393,1.7033470732534257,1404.881035448239,7.248419456734079,2.0,2.0,76.0,2393.0,1.7033470732534257,1404.881035448239,7.248419456734079,1.0986122886681098,4.343805421853684,22,Developed,High density
48,201,412300,1400000US48201412300,48201412300,4123,Census Tract 4123,TX,Harris County,Texas,CT,2381021,0,6750,2.3814163348840927,2834.447677679398,7.949955114693247,7.0,5.0,12.0,6750.0,2.3814163348840927,2834.447677679398,7.949955114693247,2.0794415416798357,2.5649493574615367,22,Developed,High density
48,201,230900,1400000US48201230900,48201230900,2309,Census Tract 2309,TX,Harris County,Texas,CT,6357519,2489,4409,6.36466267841815,692.7311348251683,6.542084471646104,40.0,21.0,416.0,4409.0,6.36466267841815,692.7311348251683,6.542084471646104,3.713572066704308,6.0330862217988015,22,Developed,Medium density
48,201,522202,1400000US48201522202,48201522202,5222.02,Census Tract 5222.02,TX,Harris County,Texas,CT,1768480,0,4483,1.7761612139876612,2523.982600619463,7.833989450841941,14.0,9.0,40.0,4483.0,1.7761612139876612,2523.982600619463,7.833989450841941,2.70805020110221,3.713572066704308,22,Developed,High density
48,201,420100,1400000US48201420100,48201420100,4201,Census Tract 4201,TX,Harris County,Texas,CT,1160641,0,2843,1.157051021059343,2457.108587482235,7.807147466319536,4.0,4.0,8.0,2843.0,1.157051021059343,2457.108587482235,7.807147466319536,1.6094379124341003,2.1972245773362196,23,Developed,High density
48,269,950100,1400000US48269950100,48269950100,9501,Census Tract 9501,TX,King County,Texas,CT,2359150569,6396290,189,2365.0527011401778,0.07991365262553525,0.07688108666720242,362.0,103.0,1769.0,189.0,2365.0527011401778,0.07991365262553525,0.07688108666720242,5.8944028342648505,7.478734825567875,52,Shrub/Scrub,Low density
48,309,000598,1400000US48309000598,48309000598,5.98,Census Tract 5.98,TX,McLennan County,Texas,CT,4295599,0,5118,4.29625173800899,1191.270975748696,7.0836151504382885,12.0,8.0,289.0,5118.0,4.29625173800899,1191.270975748696,7.0836151504382885,2.5649493574615367,5.66988092298052,23,Developed,Medium density
48,309,002800,1400000US48309002800,48309002800,28,Census Tract 28,TX,McLennan County,Texas,CT,3721141,2016503,4163,5.739419140932815,725.3347242598137,6.588010961272126,218.0,43.0,441.0,4163.0,5.739419140932815,725.3347242598137,6.588010961272126,5.389071729816501,6.091309882077698,11,Water,Medium density
48,333,950200,1400000US48333950200,48333950200,9502,Census Tract 9502,TX,Mills County,Texas,CT,601748025,1144302,2563,602.9306862487291,4.2509032272785605,1.658400105096937,1314.0,149.0,6389.0,2563.0,602.9306862487291,4.2509032272785605,1.658400105096937,7.181591944611865,8.762489547371581,52,Shrub/Scrub,Low density
48,367,140101,1400000US48367140101,48367140101,1401.01,Census Tract 1401.01,TX,Parker County,Texas,CT,9122369,0,6125,9.120078570868174,671.5950912489715,6.511143501106733,39.0,26.0,51.0,6125.0,9.120078570868174,671.5950912489715,6.511143501106733,3.6888794541139363,3.9512437185814275,71,Grassland,Medium density
48,381,021102,1400000US48381021102,48381021102,211.02,Census Tract 211.02,TX,Randall County,Texas,CT,825021,0,2148,0.8264242581483137,2599.1492611952235,7.8633241305137975,1.0,1.0,3.0,2148.0,0.8264242581483137,2599.1492611952235,7.8633241305137975,0.6931471805599453,1.3862943611198906,23,Developed,High density
48,387,950100,1400000US48387950100,48387950100,9501,Census Tract 9501,TX,Red River County,Texas,CT,808649385,7822597,2683,816.9848544623003,3.28402660752606,1.454893363473325,1110.0,125.0,3585.0,2683.0,816.9848544623003,3.28402660752606,1.454893363473325,7.01301578963963,8.184792654165078,81,Agriculture,Low density
48,401,950800,1400000US48401950800,48401950800,9508,Census Tract 9508,TX,Rusk County,Texas,CT,12023849,97733,4383,12.108770542793737,361.96903595703566,5.894317530232724,24.0,22.0,54.0,4383.0,12.108770542793737,361.96903595703566,5.894317530232724,3.2188758248682006,4.007333185232471,22,Developed,Medium density
48,403,950100,1400000US48403950100,48403950100,9501,Census Tract 9501,TX,Sabine County,Texas,CT,373878066,63508864,2153,437.660233084447,4.919341162953173,1.7782251526610244,437.0,94.0,2680.0,2153.0,437.660233084447,4.919341162953173,1.7782251526610244,6.082218910376446,7.893945138235959,42,Forest,Low density
48,445,950300,1400000US48445950300,48445950300,9503,Census Tract 9503,TX,Terry County,Texas,CT,15358586,15523,1886,15.396813959758047,122.49287449529184,4.8161834580091325,21.0,12.0,97.0,1886.0,15.396813959758047,122.49287449529184,4.8161834580091325,3.091042453358316,4.584967478670572,82,Agriculture,Low density
48,451,001304,1400000US48451001304,48451001304,13.04,Census Tract 13.04,TX,Tom Green County,Texas,CT,2304904,42903,3093,2.342762858475042,1320.2360575296573,7.186322984644121,143.0,49.0,1124.0,3093.0,2.342762858475042,1320.2360575296573,7.186322984644121,4.969813299576001,7.025538314638521,23,Developed,Medium density
48,453,002409,1400000US48453002409,48453002409,24.09,Census Tract 24.09,TX,Travis County,Texas,CT,1337667,0,3414,1.334203118239619,2558.830775710161,7.8476964320504745,31.0,19.0,62.0,3414.0,1.334203118239619,2558.830775710161,7.8476964320504745,3.4657359027997265,4.143134726391533,23,Developed,High density
48,453,000205,1400000US48453000205,48453000205,2.05,Census Tract 2.05,TX,Travis County,Texas,CT,1512162,0,4429,1.5080099485634562,2936.9832766813674,7.985478664641846,61.0,24.0,487.0,4429.0,1.5080099485634562,2936.9832766813674,7.985478664641846,4.127134385045092,6.1903154058531475,22,Developed,High density
48,453,000803,1400000US48453000803,48453000803,8.03,Census Tract 8.03,TX,Travis County,Texas,CT,1444991,0,3396,1.4423569864805963,2354.479530262729,7.7644996079145745,191.0,40.0,779.0,3396.0,1.4423569864805963,2354.479530262729,7.7644996079145745,5.2574953720277815,6.659293919683638,23,Developed,High density
48,453,002105,1400000US48453002105,48453002105,21.05,Census Tract 21.05,TX,Travis County,Texas,CT,1935801,0,4526,1.9435915262760501,2328.6786028913607,7.753485598372097,29.0,21.0,86.0,4526.0,1.9435915262760501,2328.6786028913607,7.753485598372097,3.4011973816621555,4.465908118654584,24,Developed,High density
48,453,002413,1400000US48453002413,48453002413,24.13,Census Tract 24.13,TX,Travis County,Texas,CT,1341870,0,3263,1.3441934846524954,2427.477916874117,7.79501996842517,44.0,19.0,153.0,3263.0,1.3441934846524954,2427.477916874117,7.79501996842517,3.8066624897703196,5.0369526024136295,23,Developed,High density
48,457,950400,1400000US48457950400,48457950400,9504,Census Tract 9504,TX,Tyler County,Texas,CT,668535186,12276500,5001,680.8709545579263,7.345004169324616,2.1216630567331602,1019.0,112.0,3171.0,5001.0,680.8709545579263,7.345004169324616,2.1216630567331602,6.927557906278317,8.06211758275474,42,Forest,Low density
48,469,000100,1400000US48469000100,48469000100,1,Census Tract 1,TX,Victoria County,Texas,CT,1632740,0,1633,1.6223798611556792,1006.5460248235304,6.915272974984416,38.0,21.0,279.0,1633.0,1.6223798611556792,1006.5460248235304,6.915272974984416,3.6635616461296463,5.634789603169249,23,Developed,Medium density
48,481,740800,1400000US48481740800,48481740800,7408,Census Tract 7408,TX,Wharton County,Texas,CT,54207149,229392,3890,54.45602625491564,71.43378368796891,4.282672816080269,94.0,39.0,669.0,3890.0,54.45602625491564,71.43378368796891,4.282672816080269,4.553876891600541,6.507277712385012,82,Agriculture,Low density
48,483,950300,1400000US48483950300,48483950300,9503,Census Tract 9503,TX,Wheeler County,Texas,CT,797473292,841283,2260,798.3076803985226,2.8309886720265385,1.3431229087907621,354.0,76.0,2062.0,2260.0,798.3076803985226,2.8309886720265385,1.3431229087907621,5.872117789475416,7.631916513071252,52,Shrub/Scrub,Low density
48,351,950300,1400000US48351950300,48351950300,9503,Census Tract 9503,TX,Newton County,Texas,CT,485357049,2214858,2722,487.3161711509648,5.585696024761625,1.884900028130677,71.0,38.0,155.0,2722.0,487.3161711509648,5.585696024761625,1.884900028130677,4.276666119016055,5.049856007249537,42,Forest,Low density
48,303,000201,1400000US48303000201,48303000201,2.01,Census Tract 2.01,TX,Lubbock County,Texas,CT,21614023,274318,1938,21.862296372938495,88.64576561128719,4.495865966490448,2086.0,144.0,18026.0,1938.0,21.862296372938495,88.64576561128719,4.495865966490448,7.643482907077201,9.799625913002037,82,Agriculture,Low density
48,303,001601,1400000US48303001601,48303001601,16.01,Census Tract 16.01,TX,Lubbock County,Texas,CT,2599985,49059,2382,2.6511436249334044,898.4801794960599,6.801817018123978,41.0,26.0,558.0,2382.0,2.6511436249334044,898.4801794960599,6.801817018123978,3.7376696182833684,6.326149473155099,22,Developed,Medium density
48,321,730301,1400000US48321730301,48321730301,7303.01,Census Tract 7303.01,TX,Matagorda County,Texas,CT,5282350,0,4032,5.313195397691492,758.8653716277491,6.633141274993707,24.0,15.0,50.0,4032.0,5.313195397691492,758.8653716277491,6.633141274993707,3.2188758248682006,3.9318256327243257,22,Developed,Medium density
48,219,950300,1400000US48219950300,48219950300,9503,Census Tract 9503,TX,Hockley County,Texas,CT,12186641,0,3981,12.180206821494611,326.8417407309262,5.792530994173071,19.0,14.0,60.0,3981.0,12.180206821494611,326.8417407309262,5.792530994173071,2.995732273553991,4.110873864173311,82,Agriculture,Medium density
48,409,010700,1400000US48409010700,48409010700,107,Census Tract 107,TX,San Patricio County,Texas,CT,641298790,5087770,4954,644.5199341018941,7.686341008060748,2.1617517928470327,3602.0,221.0,18495.0,4954.0,644.5199341018941,7.686341008060748,2.1617517928470327,8.189522110748094,9.825309771472105,82,Agriculture,Low density
48,409,010201,1400000US48409010201,48409010201,102.01,Census Tract 102.01,TX,San Patricio County,Texas,CT,8315301,387590,3295,8.557792573592517,385.02919668416035,5.955913005682476,524.0,101.0,2430.0,3295.0,8.557792573592517,385.02919668416035,5.955913005682476,6.263398262591624,7.796057974316123,22,Developed,Medium density
48,275,950100,1400000US48275950100,48275950100,9501,Census Tract 9501,TX,Knox County,Texas,CT,1754215020,12450243,1384,1766.358697818259,0.7835328134140962,0.5785961239733799,1287.0,171.0,10710.0,1384.0,1766.358697818259,0.7835328134140962,0.5785961239733799,7.160845906664299,9.27902652976463,52,Shrub/Scrub,Low density
48,345,950100,1400000US48345950100,48345950100,9501,Census Tract 9501,TX,Motley County,Texas,CT,2562963900,644140,1267,2563.3292204826957,0.49427907655241166,0.4016438674938615,477.0,128.0,4229.0,1267.0,2563.3292204826957,0.49427907655241166,0.4016438674938615,6.169610732491456,8.349957272040324,52,Shrub/Scrub,Low density
48,363,000500,1400000US48363000500,48363000500,5,Census Tract 5,TX,Palo Pinto County,Texas,CT,2237182,3831,2030,2.24569583743294,903.9514462121004,6.807881291666317,4.0,3.0,9.0,2030.0,2.24569583743294,903.9514462121004,6.807881291666317,1.6094379124341003,2.302585092994046,22,Developed,Medium density
48,141,003403,1400000US48141003403,48141003403,34.03,Census Tract 34.03,TX,El Paso County,Texas,CT,3148506,0,5584,3.140574429853104,1778.0186792965717,7.483817187496362,60.0,34.0,1077.0,5584.0,3.140574429853104,1778.0186792965717,7.483817187496362,4.110873864173311,6.982862751468942,23,Developed,High density
48,141,000106,1400000US48141000106,48141000106,1.06,Census Tract 1.06,TX,El Paso County,Texas,CT,2629548,0,6105,2.6256777826977595,2325.1139344780536,7.751954314887603,2.0,2.0,5.0,6105.0,2.6256777826977595,2325.1139344780536,7.751954314887603,1.0986122886681098,1.791759469228055,23,Developed,High density
48,135,000300,1400000US48135000300,48135000300,3,Census Tract 3,TX,Ector County,Texas,CT,2419651,6166,2546,2.422355209098806,1051.0432121749782,6.9584894686660075,5.0,5.0,9.0,2546.0,2.422355209098806,1051.0432121749782,6.9584894686660075,1.791759469228055,2.302585092994046,22,Developed,Medium density
48,135,000400,1400000US48135000400,48135000400,4,Census Tract 4,TX,Ector County,Texas,CT,2716843,3009,4394,2.7280315087354134,1610.685208704518,7.385035624036983,8.0,8.0,84.0,4394.0,2.7280315087354134,1610.685208704518,7.385035624036983,2.1972245773362196,4.442651256490317,22,Developed,High density
48,293,970600,1400000US48293970600,48293970600,9706,Census Tract 9706,TX,Limestone County,Texas,CT,431766252,6421926,5714,438.25629875532996,13.03803280461239,2.641770275149237,336.0,102.0,1452.0,5714.0,438.25629875532996,13.03803280461239,2.641770275149237,5.820082930352362,7.2813856635702825,81,Agriculture,Low density
48,057,000300,1400000US48057000300,48057000300,3,Census Tract 3,TX,Calhoun County,Texas,CT,142791331,335677402,986,478.33602909080537,2.061312424811767,1.1188437210115723,2179.0,223.0,20231.0,986.0,478.33602909080537,2.061312424811767,1.1188437210115723,7.687080155783135,9.915020788349802,11,Water,Low density
48,027,022501,1400000US48027022501,48027022501,225.01,Census Tract 225.01,TX,Bell County,Texas,CT,2262606,6621,3385,2.2679833789725565,1492.5153470628497,7.308887913507519,20.0,15.0,106.0,3385.0,2.2679833789725565,1492.5153470628497,7.308887913507519,3.044522437723423,4.672828834461906,23,Developed,High density
48,027,023104,1400000US48027023104,48027023104,231.04,Census Tract 231.04,TX,Bell County,Texas,CT,1814624,0,2824,1.8235036647428653,1548.6670274382016,7.345795365828343,2.0,2.0,2.0,2824.0,1.8235036647428653,1548.6670274382016,7.345795365828343,1.0986122886681098,1.0986122886681098,23,Developed,High density
